127.0.0.1 - - [19/Sep/2023:10:05:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:05:23 +0900] "GET /JspMiniProject2/guest/guestlist.jsp HTTP/1.1" 200 6621
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:05:23 +0900] "GET /JspMiniProject2/guest/save/bottle03.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:05:44 +0900] "GET /JspMiniProject2/board/boardlist.jsp HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:05:46 +0900] "GET /JspMiniProject2/board/index.jsp?main=board/contentview.jsp?num=2&currentPage=1 HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:05:49 +0900] "GET /JspMiniProject2/board/index.jsp?main=board/contentview.jsp?num=1&currentPage=1 HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:03 +0900] "GET /JspMiniProject2/board/boardlist.jsp HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:04 +0900] "GET /JspMiniProject2/board/index.jsp?main=board/contentview.jsp?num=2&currentPage=1 HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:19 +0900] "GET /JspMiniProject2/index.jsp HTTP/1.1" 200 6995
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:19 +0900] "GET /JspMiniProject2/image/banner-rouge.gif HTTP/1.1" 200 3293796
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:19 +0900] "GET /JspMiniProject2/menu/js/jquery.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:19 +0900] "GET /JspMiniProject2/image/title2.png HTTP/1.1" 200 230357
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:19 +0900] "GET /JspMiniProject2/menu/css/menu.css HTTP/1.1" 200 3522
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:19 +0900] "GET /JspMiniProject2/menu/css/font-awesome.css HTTP/1.1" 200 15825
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:19 +0900] "GET /JspMiniProject2/image/main2.jpeg HTTP/1.1" 200 236212
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:19 +0900] "GET /JspMiniProject2/image/main7.jpeg HTTP/1.1" 200 92302
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:19 +0900] "GET /JspMiniProject2/image/main3.jpg HTTP/1.1" 200 185243
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:19 +0900] "GET /JspMiniProject2/menu/js/function.js HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:19 +0900] "GET /JspMiniProject2/menu/images/patterns/light_toast.png HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:19 +0900] "GET /JspMiniProject2/menu/images/plus-gray.png HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:21 +0900] "GET /JspMiniProject2/index.jsp?main=guest/guestlist.jsp HTTP/1.1" 200 12579
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:21 +0900] "GET /JspMiniProject2/save/bottle03.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:21 +0900] "GET /JspMiniProject2/menu/images/patterns/light_toast.png HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:24 +0900] "GET /JspMiniProject2/index.jsp?main=login/loginform.jsp HTTP/1.1" 200 7352
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:24 +0900] "GET /JspMiniProject2/menu/images/patterns/light_toast.png HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:31 +0900] "POST /JspMiniProject2/login/loginaction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:31 +0900] "GET /JspMiniProject2/index.jsp?main=login/loginmain.jsp HTTP/1.1" 200 7559
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:31 +0900] "GET /image/bye2.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:31 +0900] "GET /JspMiniProject2/image/05.png HTTP/1.1" 200 31548
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:32 +0900] "GET /JspMiniProject2/menu/images/patterns/light_toast.png HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:33 +0900] "GET /JspMiniProject2/index.jsp?main=guest/guestlist.jsp HTTP/1.1" 200 16341
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:34 +0900] "GET /JspMiniProject2/save/bottle03.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [19/Sep/2023:10:07:34 +0900] "GET /JspMiniProject2/menu/images/patterns/light_toast.png HTTP/1.1" 404 875
